WORD,_TOTAL_,VERB
coming,182495187.0,0.9065854761418995
existing,181799782.0,0.8844673697133476
born,181211344.0,0.8005535293640337
issued,180149491.0,0.9953388655425066
require,179727770.0,0.9999545256695723
employed,179003775.0,0.9381627566234287
continue,177255595.0,0.9648716419924572
formed,177060305.0,0.961424589209874
entitled,176589926.0,0.988455575886022
giving,176394072.0,0.9539518368848586
met,175376872.0,0.9549314974667812
built,175249273.0,0.886549988712364
receive,174347198.0,0.9998680621182108
concerned,171584703.0,0.9323875683719894
led,170138495.0,0.9676734944669635
reduced,170136349.0,0.9594249727317236
follow,170111526.0,0.8476002854738955
compared,169929207.0,0.9474166909988582
reached,169880024.0,0.9999524017020388
apply,167938092.0,0.9431212663771361
died,167547997.0,0.9531727019094116
defined,167202624.0,0.9092465199589213
comes,164528270.0,0.9763902215710406
covered,162712131.0,0.9106654868898496
adopted,161373900.0,0.9457586016078189
moved,159449921.0,0.9999613295512388
caused,159359685.0,0.9890537496983631
hear,155904044.0,0.9969858639459025
allow,155258087.0,0.960156548882378
write,154864212.0,0.947002274482887
discussed,154547531.0,0.9915908200435761
started,154450689.0,0.9988186326575726
increasing,152963536.0,0.9706626224958607
remain,152588724.0,0.9999213768902084
designed,152386989.0,0.9444668993361369
entered,151994440.0,0.9647049523653628
noted,151883979.0,0.9770546503788922
showed,151865926.0,0.9999846575195545
decided,151660571.0,0.9652363302786193
offered,151067019.0,0.9902354464279195
raised,150205152.0,0.9939598543197773
returned,149975517.0,0.9996559038366242
concerning,149924547.0,0.9145264984525849
appointed,148956610.0,0.9421486565785835
approved,148720636.0,0.8335188198092429
occur,147890397.0,0.9999748462369737
carry,147545011.0,0.9486390292112283
try,147051311.0,0.9724450535500496
gone,146873807.0,0.9749525591040205
created,146823156.0,0.9711886590967981
agreed,145948139.0,0.9631333291615318
serve,145507153.0,0.981488353359508
selected,145400877.0,0.974769574464121
tried,144017342.0,0.9932598464426596
sold,143923006.0,0.9962236544725865
containing,143271435.0,0.9152222562718102
prevent,142479950.0,0.9999551586030174
speak,142408913.0,0.9924392232387871
introduced,142375554.0,0.9999585111359778
getting,141985248.0,0.928064801492617
worked,141205882.0,0.9999227015203234
develop,140866147.0,0.9519018646829319
estimated,140854641.0,0.865455168069329
wish,140472850.0,0.849492389454617
suggested,140368451.0,0.9814156815052408
growing,140329133.0,0.8894345552608809
obtain,140252648.0,0.9999313168047993
served,139933160.0,0.9999118507721829
intended,139748699.0,0.9178801228052935
treated,138480711.0,0.9552285083227223
showing,137861459.0,0.9047910772509669
indicated,137848229.0,0.9897515984771919
amended,137465674.0,0.9053147115111806
remains,137013441.0,0.8572614200675392
leading,136976320.0,0.8710324091054571
providing,136720149.0,0.9991092534575866
ordered,136180468.0,0.9752982123691923
accepted,135251268.0,0.9174884778159714
remember,134991908.0,0.9999219434693819
holding,134744256.0,0.8129486350794798
wrote,133913484.0,0.9999560835860263
located,133895913.0,0.9932557463497784
expressed,133834746.0,0.9770019662905775
removed,132974271.0,0.9976396411302755
contained,132643574.0,0.9902666826513586
changed,132602170.0,0.9382911154470549
granted,131315474.0,0.9412015753756484
trying,131225379.0,0.9880338543354483
stood,131093318.0,0.9999702578280916
completed,129410029.0,0.9588468448608415
represented,128886535.0,0.9999587466603862
lay,128143322.0,0.8699069390443928
connected,126888883.0,0.9259280342155742
opened,126672821.0,0.9999658095559425
enter,126076011.0,0.8775839997031631
saying,125381099.0,0.971544227730848
send,125374176.0,0.9997167917578178
create,125222509.0,0.9367722699119533
performed,124743316.0,0.9999613606551874
laid,124588877.0,0.9804103860732287
drawn,123854176.0,0.9372522247453328
maintain,123577619.0,0.9999544820490512
running,123491774.0,0.9118505415591487
remained,123261015.0,0.9999749312465097
named,123256903.0,0.98973683445543
married,122540586.0,0.8358209581272934
printed,122220357.0,0.802802883320002
establish,122199664.0,0.9629251599251533
relating,122094481.0,0.9999063020710985
authorized,121903788.0,0.8767111568346014
reach,121252182.0,0.8094304150336857
affected,120178886.0,0.8483804634368137
indicate,119909334.0,0.9999298803544351
directed,119675631.0,0.9061673048542356
ought,119268900.0,0.9999650872943407
learn,119239416.0,0.9997395995297393
regarding,118902310.0,0.999866966419744
moving,117731890.0,0.9090803689637531
developing,116512960.0,0.8533200941766478
engaged,116038857.0,0.9864730742737323
please,115592580.0,0.9520796231038359
reduce,115231845.0,0.9999556980103894
begin,115023571.0,0.9544981436891748
bound,114171077.0,0.8166347331557536
spent,113228283.0,0.9914459446497127
lived,112287459.0,0.9217496586150373
filled,112079750.0,0.9229410932840232
avoid,111907928.0,0.9423312796927131
exist,111335530.0,0.9952486596147698
conducted,110990106.0,0.9813774571942475
represent,110959260.0,0.9999447815351328
submitted,110261996.0,0.9997628920122215
leaving,110044322.0,0.9914880206177289
measured,109738249.0,0.9785694594051706
proved,109243157.0,0.9686532585285869
failed,109012498.0,0.9807367683657703
fell,108442546.0,0.9629676160498851
accept,108065473.0,0.9753270316042572
believed,107619202.0,0.9966059402670538
agree,107614880.0,0.9813788762297556
derived,107103846.0,0.9017491024552003
sat,106178838.0,0.999967658338849
supported,106175440.0,0.9531433917297635
contain,106013978.0,0.9918917673290215
collected,105923179.0,0.9254669650728666
specified,105758971.0,0.9786293779276654
recognized,105459250.0,0.9903162785625728
understood,105026171.0,0.9894228744186057
divided,104935385.0,0.9773219110026613
recorded,104469430.0,0.9695691744465342
suggest,104049041.0,0.9999636421444769
happened,104031943.0,0.9979528210868849
prove,103779474.0,0.9999238481397583
combined,102420996.0,0.8564906750174545
studied,102180025.0,0.9904145942418785
resulting,102086884.0,0.9805267932362398
